chi,chosen_mode,with_xai,prob_correct,pred_time,reward,correct,cog_retrieval_threshold,cog_latency_factor,cog_T_enc,cog_T_op,cog_ddm_a,cog_ddm_s,cog_chi
0.015390867179629878,unknown,True,0.47449280081137873,3.6495953627489683,0.41832236332391626,1.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,False,0.6441052322690493,3.768321225953778,0.5861075007902147,1.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,True,0.6251703813054257,3.7497643519651858,0.5674582562094186,1.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,True,0.6547873186621104,3.77918979854836,0.5966223104260404,1.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,False,0.23595908435820726,3.7051383002907086,0.17893379289627337,0.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,True,0.5683531137353554,3.8165356080967325,0.5096133211048106,0.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,False,0.6628614202452969,3.794907366741123,0.6044545050047854,1.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,True,0.7509210900465163,3.732154987424946,0.6934799883412658,1.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,False,0.6958899597361271,3.739465284560929,0.638336346218613,1.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,True,0.24854548474257554,3.7257339778907856,0.1912032079422244,0.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,False,0.1747612154374244,3.721829998079377,0.11747902427182258,0.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
0.015390867179629878,unknown,True,0.7010300292019389,3.8327834633126927,0.6420401679898114,1.0,-1.583832241822733,0.19445441946611758,1.7597257689009478,1.7012155543580685,0.6687751667215941,0.9784065807433782,0.007970638436914573
