task,app_id,model_name,repeat,instance_id,strategy,parameter,parameter_value,success,time_seconds
counterfactual,wine_quality,mlp,1,369,cf_lr_calculation,memory_recall_threshold,-5.0,0.37742161848632394,2.0
counterfactual,wine_quality,mlp,1,369,cf_lr_heuristic,memory_recall_threshold,-5.0,0.33333333333333337,9.500000000000002
counterfactual,wine_quality,mlp,1,369,cf_dt_read,memory_recall_threshold,-5.0,1.0,6.19317573487651
counterfactual,wine_quality,mlp,1,369,cf_dt_retrieve,memory_recall_threshold,-5.0,0.25,5.638633445040199
counterfactual,wine_quality,mlp,1,369,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,369,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,238,cf_lr_calculation,memory_recall_threshold,-5.0,0.37742161848632394,2.0
counterfactual,wine_quality,mlp,1,238,cf_lr_heuristic,memory_recall_threshold,-5.0,0.0,9.500000000000002
counterfactual,wine_quality,mlp,1,238,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,1,238,cf_dt_retrieve,memory_recall_threshold,-5.0,0.75,5.683427787086683
counterfactual,wine_quality,mlp,1,238,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,238,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,117,cf_lr_calculation,memory_recall_threshold,-5.0,0.2061501616485559,2.0
counterfactual,wine_quality,mlp,1,117,cf_lr_heuristic,memory_recall_threshold,-5.0,0.0,9.500000000000002
counterfactual,wine_quality,mlp,1,117,cf_dt_read,memory_recall_threshold,-5.0,1.0,6.19317573487651
counterfactual,wine_quality,mlp,1,117,cf_dt_retrieve,memory_recall_threshold,-5.0,0.1875,6.056436232126882
counterfactual,wine_quality,mlp,1,117,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,117,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,362,cf_lr_calculation,memory_recall_threshold,-5.0,0.2061501616485559,2.0
counterfactual,wine_quality,mlp,1,362,cf_lr_heuristic,memory_recall_threshold,-5.0,0.16666666666666669,9.500000000000002
counterfactual,wine_quality,mlp,1,362,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,1,362,cf_dt_retrieve,memory_recall_threshold,-5.0,0.5,4.123672296693467
counterfactual,wine_quality,mlp,1,362,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,362,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,196,cf_lr_calculation,memory_recall_threshold,-5.0,1.0,2.0
counterfactual,wine_quality,mlp,1,196,cf_lr_heuristic,memory_recall_threshold,-5.0,0.33333333333333337,9.500000000000002
counterfactual,wine_quality,mlp,1,196,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,1,196,cf_dt_retrieve,memory_recall_threshold,-5.0,0.75,5.638633445040199
counterfactual,wine_quality,mlp,1,196,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,196,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,251,cf_lr_calculation,memory_recall_threshold,-5.0,0.6448328567948611,2.0
counterfactual,wine_quality,mlp,1,251,cf_lr_heuristic,memory_recall_threshold,-5.0,0.33333333333333337,9.500000000000002
counterfactual,wine_quality,mlp,1,251,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,1,251,cf_dt_retrieve,memory_recall_threshold,-5.0,0.75,5.638633445040199
counterfactual,wine_quality,mlp,1,251,recall_change_dt,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,251,recall_change_lr,memory_recall_threshold,-5.0,0.0,0.0
counterfactual,wine_quality,mlp,1,335,cf_lr_calculation,memory_recall_threshold,-5.0,0.2061501616485559,2.0
counterfactual,wine_quality,mlp,1,335,cf_lr_heuristic,memory_recall_threshold,-5.0,0.0,9.5
counterfactual,wine_quality,mlp,1,335,cf_dt_read,memory_recall_threshold,-5.0,0.7310585782921701,6.19317573487651
counterfactual,wine_quality,mlp,1,335,cf_dt_retrieve,memory_recall_threshold,-5.0,0.0,5.252080657953516
