app_id,model_name,dataset,instance_id,row_idx,calculation_mode,decision_boundary,n_selected_features,prob_correct,pred_time,reward,decision_noise,memory_recall_threshold,opportunity_cost
wine_quality,mlp,wine_quality/mlp,256,19,retrieve,1.0,6,0.45227599448586686,20.23858834394994,0.1439109935288424,0.4857085537583967,0.036523297824997636,0.014643560900610881
wine_quality,mlp,wine_quality/mlp,256,19,read,1.0,6,0.7418289945471019,17.384722758681587,0.4752547480901121,0.4857085537583967,0.036523297824997636,0.014643560900610881
wine_quality,mlp,wine_quality/mlp,17,20,retrieve,1.0,6,0.48186928714096866,19.486456584925413,0.4390684912781277,0.4616060835609225,0.2818681528944196,0.0015806257914878286
wine_quality,mlp,wine_quality/mlp,17,20,read,1.0,6,0.2961168647034753,17.92029747408978,0.2557915803247948,0.4616060835609225,0.2818681528944196,0.0015806257914878286
wine_quality,mlp,wine_quality/mlp,379,21,retrieve,1.0,6,0.47376929204917306,18.947931384136538,0.13902544679519185,0.41666527564491396,0.6143392877102163,0.017033196854627976
wine_quality,mlp,wine_quality/mlp,379,21,read,1.0,6,0.9587037975045812,16.86064838051615,0.6595130545425852,0.41666527564491396,0.6143392877102163,0.017033196854627976
wine_quality,mlp,wine_quality/mlp,58,22,retrieve,1.0,6,0.7225426086206682,21.57382330096251,0.37991857228181564,0.40967900897880266,-0.9546037272053407,0.015325240766392198
wine_quality,mlp,wine_quality/mlp,58,22,read,1.0,6,0.9062951545972493,17.767156185591436,0.6220092083189661,0.40967900897880266,-0.9546037272053407,0.015325240766392198
wine_quality,mlp,wine_quality/mlp,57,23,retrieve,1.0,6,0.31331241436730844,18.530507757953835,0.15903790729462247,0.4931787811227387,1.1528141418652025,0.007677852594817192
wine_quality,mlp,wine_quality/mlp,57,23,read,1.0,6,0.9370539939260987,16.161631895724447,0.8009673665390304,0.4931787811227387,1.1528141418652025,0.007677852594817192
wine_quality,mlp,wine_quality/mlp,307,24,retrieve,1.0,6,0.5937500791179958,22.762511772129457,0.5690927213449903,0.32575950475880083,1.6076996465036686,0.0005560615585711926
wine_quality,mlp,wine_quality/mlp,307,24,read,1.0,6,0.3213872381223276,22.507886759643135,0.29687146753061655,0.32575950475880083,1.6076996465036686,0.0005560615585711926
wine_quality,mlp,wine_quality/mlp,90,25,retrieve,1.0,6,0.6686815460746134,21.05812273105542,0.6323157545948409,0.46887683275911973,-0.8894336532900049,0.001157073296179394
wine_quality,mlp,wine_quality/mlp,90,25,read,1.0,6,0.8104352741072649,17.38772406091507,0.7783164029150441,0.46887683275911973,-0.8894336532900049,0.001157073296179394
wine_quality,mlp,wine_quality/mlp,40,26,retrieve,1.0,6,0.5799388549183815,19.929232772639736,0.3440876556133441,0.3065075035548797,0.3962939722245711,0.01123230391550026
wine_quality,mlp,wine_quality/mlp,40,26,read,1.0,6,0.9886630538050887,18.15635680344563,0.7727253361905265,0.3065075035548797,0.3962939722245711,0.01123230391550026
