Participant ID,dataId,expMethod,modelName,Session,Tested w/ XAI,XAIType,Strategy,Assignment Prob,NLL,PAI,MAI,sensitivity,k,retrieval_threshold,scaling_factor
262,adult,lime,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.239889843,0.6111111111,0.6666666667,20.737304059,2,-2.280770251,
262,adult,lime,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.2656882604,0.8888888889,0.7777777778,36.539908482,1,-3.537109641,
16,adult,lime,xgboost,1,w/ XAI,,Sensitive-features categorization,1,0.6292549882,0.7222222222,0.7222222222,1.0,4,-2.280770251,
16,adult,lime,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.6647128198,0.8333333333,0.7222222222,1.0,4,-3.589012825,
16,adult,lime,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.5593600685,0.7777777778,0.5555555556,1.0,1,-2.079797594,
19,adult,lime,xgboost,1,w/ XAI,,Sensitive-features categorization,1,0.2296593081,0.7777777778,0.8888888889,20.737304059,3,-2.280770251,
19,adult,lime,xgboost,1,w/o XAI,,Sensitive-features categorization,1,0.6576387018,0.8888888889,0.3888888889,1.0,1,-2.079797594,
19,adult,lime,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.0001552065,1.0,1.0,50.120095417,4,-2.280770251,
19,adult,lime,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.2289980593,0.7222222222,0.6666666667,66.635495321,3,-2.079797594,
70,adult,lime,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.177566854,0.6666666667,0.6666666667,50.120095417,1,-2.280770251,
70,adult,lime,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.1399494927,0.7777777778,0.8333333333,31.095586839,5,-2.079797594,
34,adult,lime,xgboost,1,w/ XAI,,Sensitive-features categorization,1,0.5042429366,0.7222222222,0.6111111111,30.382791358,4,-2.280770251,
34,adult,lime,xgboost,1,w/o XAI,,Sensitive-features categorization,1,0.6566161778,0.8888888889,0.5555555556,1.0,3,-2.079797594,
34,adult,lime,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.2724097314,0.7777777778,0.8888888889,30.382791358,2,-3.589012825,
34,adult,lime,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.176672969,0.7777777778,0.6666666667,31.095586839,3,-2.079797594,
53,adult,lime,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.616130827,0.6666666667,0.5555555556,1.0,2,-0.972527677,
110,forest_cover,shap,xgboost,1,w/o XAI,,Sensitive-features categorization,1,0.6013337448,0.5,0.4444444444,1.0,1,-2.079797594,
110,forest_cover,shap,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.6603242272,0.4444444444,0.3888888889,1.0,1,-2.079797594,
15,forest_cover,shap,xgboost,1,w/ XAI,,Sensitive-features categorization,1,0.010862762,0.6666666667,0.6666666667,50.120095417,4,-2.280770251,
15,forest_cover,shap,xgboost,1,w/o XAI,,Sensitive-features categorization,1,0.6504274143,0.7222222222,0.5,1.0,3,-2.079797594,
15,forest_cover,shap,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.3080096214,0.7222222222,0.6111111111,20.737304059,3,-3.589012825,
15,forest_cover,shap,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.0040672499,0.5,0.5,66.635495321,3,-3.537109641,
84,forest_cover,shap,xgboost,1,w/ XAI,,Sensitive-features categorization,1,0.547472564,0.7222222222,0.6666666667,20.737304059,5,-2.280770251,
84,forest_cover,shap,xgboost,1,w/o XAI,,Sensitive-features categorization,1,0.3633708631,0.6666666667,0.7222222222,31.095586839,1,-2.079797594,
84,forest_cover,shap,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.0025199024,0.5,0.5,79.502886775,2,-2.280770251,
84,forest_cover,shap,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.6236547265,0.6111111111,0.6666666667,36.539908482,1,-2.079797594,
242,adult,lime,xgboost,1,w/o XAI,,Sensitive-features categorization,1,0.6551198322,0.4444444444,0.3888888889,1.0,5,-2.079797594,
242,adult,lime,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.616130827,0.5,0.4444444444,1.0,4,-0.972527677,
242,adult,lime,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.6432342596,0.3888888889,0.5555555556,1.0,3,-2.079797594,
44,adult,lime,xgboost,1,w/ XAI,,Sensitive-features categorization,1,0.2985252728,0.8888888889,0.7777777778,20.737304059,3,-2.280770251,
44,adult,lime,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.6476149376,0.6666666667,0.6111111111,1.0,2,-3.589012825,
44,adult,lime,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.6625791347,0.6111111111,0.6666666667,1.0,3,-3.537109641,
215,adult,lime,xgboost,1,w/ XAI,,Sensitive-features categorization,1,0.6542878983,0.7222222222,0.4444444444,1.0,3,-2.280770251,
215,adult,lime,xgboost,1,w/o XAI,,Sensitive-features categorization,1,0.6311706554,0.6666666667,0.5555555556,1.0,1,-2.079797594,
215,adult,lime,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.5859511025,0.8333333333,0.5,1.0,2,-2.280770251,
215,adult,lime,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.6181081418,0.6111111111,0.6666666667,1.0,1,-2.079797594,
163,adult,lime,xgboost,1,w/ XAI,,Sensitive-features categorization,1,0.6720770463,0.7777777778,0.5555555556,1.0,3,-2.280770251,
163,adult,lime,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.6454661533,0.6111111111,0.6111111111,1.0,4,-2.280770251,
163,adult,lime,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.316866674,0.8888888889,0.8888888889,13.325632598,3,-2.079797594,
179,forest_cover,shap,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.6712172614,0.4444444444,0.7222222222,1.0,1,-3.537109641,
159,forest_cover,shap,xgboost,1,w/ XAI,,Sensitive-features categorization,1,0.1698956145,0.6666666667,0.7222222222,30.382791358,1,-2.280770251,
159,forest_cover,shap,xgboost,1,w/o XAI,,Sensitive-features categorization,1,0.3851249905,0.6666666667,0.6666666667,36.539908482,1,-2.079797594,
159,forest_cover,shap,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.6582142356,0.5,0.4444444444,1.0,3,-2.280770251,
165,adult,lime,xgboost,1,w/ XAI,,Sensitive-features categorization,1,0.3126279075,1.0,0.7222222222,20.737304059,3,-2.280770251,
165,adult,lime,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.6398692128,0.6666666667,0.6111111111,1.0,4,-2.280770251,
165,adult,lime,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.6666360855,0.8888888889,0.5555555556,1.0,5,-2.079797594,
95,forest_cover,shap,xgboost,1,w/ XAI,,Sensitive-features categorization,1,0.5726508641,0.4444444444,0.5555555556,1.0,2,-2.280770251,
95,forest_cover,shap,xgboost,1,w/o XAI,,Sensitive-features categorization,1,0.6243431061,0.6666666667,0.7222222222,1.0,3,-2.079797594,
17,adult,lime,xgboost,1,w/ XAI,,Sensitive-features categorization,1,0.300619004,0.8333333333,0.6111111111,20.737304059,3,-2.280770251,
17,adult,lime,xgboost,1,w/o XAI,,Sensitive-features categorization,1,0.278513951,0.9444444444,0.8333333333,13.325632598,3,-2.079797594,
17,adult,lime,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.0688517666,0.8333333333,0.8888888889,50.120095417,5,-3.589012825,
183,adult,lime,xgboost,2,w/ XAI,,Sensitive-features categorization,1,0.6711632266,0.5,0.4444444444,1.0,4,-2.280770251,
183,adult,lime,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.6733145369,0.5,0.7222222222,1.0,3,-2.079797594,
235,adult,lime,xgboost,1,w/ XAI,,Sensitive-features categorization,1,0.6093962576,0.6666666667,0.3888888889,1.0,2,-2.280770251,
235,adult,lime,xgboost,2,w/o XAI,,Sensitive-features categorization,1,0.6426932115,0.7222222222,0.4444444444,1.0,5,-2.079797594,
93,wine_quality,lime,mlp,1,w/ XAI,,Sensitive-features categorization,1,0.6689373816,0.7777777778,0.5555555556,1.0,5,-2.280770251,
93,wine_quality,lime,mlp,2,w/ XAI,,Sensitive-features categorization,1,0.6111043545,0.8333333333,0.6666666667,1.0,2,-2.280770251,
93,wine_quality,lime,mlp,2,w/o XAI,,Sensitive-features categorization,1,0.6743558402,0.7222222222,0.5555555556,1.0,3,-2.079797594,
57,wine_quality,lime,mlp,1,w/ XAI,,Sensitive-features categorization,1,0.616130827,0.7222222222,0.6111111111,1.0,4,-0.972527677,
57,wine_quality,lime,mlp,1,w/o XAI,,Sensitive-features categorization,1,0.2198484733,0.5555555556,0.5,31.095586839,1,-2.079797594,
57,wine_quality,lime,mlp,2,w/ XAI,,Sensitive-features categorization,1,0.0033422184,0.8333333333,0.8333333333,100.0,5,-2.280770251,
57,wine_quality,lime,mlp,2,w/o XAI,,Sensitive-features categorization,1,0.1053293268,0.8888888889,0.7222222222,31.095586839,5,-2.079797594,
104,wine_quality,lime,mlp,1,w/ XAI,,Sensitive-features categorization,1,0.602663843,0.6666666667,0.5555555556,1.0,2,-2.280770251,
104,wine_quality,lime,mlp,1,w/o XAI,,Sensitive-features categorization,1,0.3589005781,0.7777777778,0.6666666667,36.539908482,5,-2.079797594,
104,wine_quality,lime,mlp,2,w/ XAI,,Sensitive-features categorization,1,0.6326898704,0.6666666667,0.2222222222,1.0,3,-2.280770251,
104,wine_quality,lime,mlp,2,w/o XAI,,Sensitive-features categorization,1,0.565283085,0.8333333333,0.6666666667,1.0,1,-2.079797594,
178,wine_quality,lime,mlp,2,w/ XAI,,Sensitive-features categorization,1,0.4567593011,0.8333333333,0.8888888889,30.382791358,5,-3.589012825,
178,wine_quality,lime,mlp,2,w/o XAI,,Sensitive-features categorization,1,0.646430043,0.6111111111,0.4444444444,1.0,1,-3.537109641,
92,wine_quality,lime,mlp,1,w/ XAI,,Sensitive-features categorization,1,0.616130827,0.2777777778,0.2222222222,1.0,3,-0.972527677,
92,wine_quality,lime,mlp,1,w/o XAI,,Sensitive-features categorization,1,0.6636784425,0.4444444444,0.5555555556,1.0,3,-2.079797594,
92,wine_quality,lime,mlp,2,w/ XAI,,Sensitive-features categorization,1,0.6272646502,0.7222222222,0.6111111111,1.0,2,-3.589012825,
227,wine_quality,lime,mlp,1,w/ XAI,Importance,Sensitive-features categorization,1,0.6325881465,0.5,0.4444444444,1.0,1,-2.525057817,
227,wine_quality,lime,mlp,1,w/o XAI,Importance,Salient-features categorization,1,0.2896683225,0.7222222222,0.6666666667,33.957537986,1,-4.0,
227,wine_quality,lime,mlp,2,w/ XAI,Importance,Attribution Sum,1,0.3064962358,0.8888888889,0.8888888889,,3,-4.0,3.4721201856
227,wine_quality,lime,mlp,2,w/o XAI,Importance,Sensitive-features categorization,1,0.6351724965,0.8333333333,0.6111111111,1.0,4,-2.368680065,
241,wine_quality,lime,mlp,1,w/ XAI,Importance,Attribution Sum,1,0.6366288701,0.7222222222,0.5,,2,-2.909234548,0.2431716588
241,wine_quality,lime,mlp,1,w/o XAI,Importance,Attribution Sum,1,0.485757823,0.6666666667,0.6666666667,,4,-2.787268138,3.9464879396
241,wine_quality,lime,mlp,2,w/ XAI,Importance,Sensitive-features categorization,1,0.6254937922,0.6111111111,0.5555555556,1.0,1,-2.525057817,
241,wine_quality,lime,mlp,2,w/o XAI,Importance,Sensitive-features categorization,1,0.6091640197,0.5555555556,0.5,1.0,2,-2.368680065,
224,wine_quality,lime,mlp,1,w/ XAI,Importance,Importance categorization,1,0.5709694897,0.5555555556,0.5,1.0,1,-2.28425335,
224,wine_quality,lime,mlp,1,w/o XAI,Importance,Salient-features categorization,1,0.6582966983,0.5555555556,0.3333333333,1.0,3,-2.756953383,
22,wine_quality,lime,mlp,1,w/ XAI,Importance,Attribution Sum,1,0.1878300109,0.9444444444,1.0,,2,-2.909234548,3.4721201856
22,wine_quality,lime,mlp,1,w/o XAI,Importance,Attribution Sum,1,0.6144293502,0.5555555556,0.5,,4,-2.787268138,1.052078328
22,wine_quality,lime,mlp,2,w/ XAI,Importance,Salient-features categorization,1,0.5654814532,0.8333333333,0.6666666667,1.0,2,-3.913819391,
22,wine_quality,lime,mlp,2,w/o XAI,Importance,Sensitive-features categorization,1,0.4039024631,0.7777777778,0.7222222222,32.195651213,2,-2.368680065,
256,wine_quality,lime,mlp,1,w/ XAI,Attribution,Attribution Sum,1,0.5276122923,0.8333333333,0.5555555556,,5,-1.718306603,1.2349080257
256,wine_quality,lime,mlp,2,w/ XAI,Attribution,Attribution Sum,1,0.0070593373,1.0,1.0,,5,-1.718306603,8.0
205,wine_quality,lime,mlp,1,w/ XAI,Attribution,Attribution Sum,1,0.3437699026,0.7222222222,0.7222222222,,4,-1.718306603,4.4309260873
205,wine_quality,lime,mlp,1,w/o XAI,Attribution,Attribution Sum,1,0.3731288351,0.7777777778,0.7222222222,,5,-3.952351085,1.3923006722
205,wine_quality,lime,mlp,2,w/ XAI,Attribution,Attribution Sum,1,0.0070593373,1.0,1.0,,5,-1.718306603,8.0
205,wine_quality,lime,mlp,2,w/o XAI,Attribution,Sensitive-features categorization,1,0.1982750877,0.7222222222,0.7222222222,21.82806764,1,-2.706550117,
101,wine_quality,lime,mlp,1,w/ XAI,Attribution,Attribution Sum,1,0.4368188529,0.7777777778,0.8888888889,,5,-1.718306603,1.2349080257
101,wine_quality,lime,mlp,2,w/ XAI,Attribution,Attribution Sum,1,0.4541421817,0.7222222222,0.7777777778,,5,-1.718306603,1.2349080257
40,forest_cover,shap,xgboost,1,w/ XAI,Attribution,Attribution Sum,1,0.0101042398,1.0,1.0,,4,-1.718306603,8.0
40,forest_cover,shap,xgboost,1,w/o XAI,Attribution,Sensitive-features categorization,1,0.4208477647,0.6666666667,0.6111111111,6.6808170864,3,-2.706550117,
40,forest_cover,shap,xgboost,2,w/ XAI,Attribution,Attribution Sum,1,0.0985762963,0.9444444444,0.8888888889,,4,-1.718306603,4.4309260873
40,forest_cover,shap,xgboost,2,w/o XAI,Attribution,Sensitive-features categorization,1,0.3254063347,0.5555555556,0.5,31.294501107,1,-2.706550117,
237,wine_quality,lime,mlp,1,w/ XAI,Importance,Sensitive-features categorization,1,0.5999370692,0.7777777778,0.5555555556,1.0,1,-2.525057817,
237,wine_quality,lime,mlp,1,w/o XAI,Importance,Sensitive-features categorization,1,0.5357176176,0.6666666667,0.6666666667,32.195651213,2,-2.368680065,
237,wine_quality,lime,mlp,2,w/ XAI,Importance,Sensitive-features categorization,1,0.4019343704,0.7222222222,0.7777777778,29.470854791,5,-2.525057817,
237,wine_quality,lime,mlp,2,w/o XAI,Importance,Sensitive-features categorization,1,0.3117273774,0.6666666667,0.7777777778,26.151047959,5,-2.368680065,
37,forest_cover,shap,xgboost,1,w/ XAI,Importance,Salient-features categorization,1,0.4991648379,0.6111111111,0.7777777778,1.0,1,-3.913819391,
37,forest_cover,shap,xgboost,1,w/o XAI,Importance,Attribution Sum,1,0.2995482794,0.7222222222,0.6111111111,,5,-3.933228805,2.0168815319
37,forest_cover,shap,xgboost,2,w/ XAI,Importance,Attribution Sum,1,0.3027792857,0.8888888889,0.9444444444,,4,-4.0,3.4721201856
37,forest_cover,shap,xgboost,2,w/o XAI,Importance,Sensitive-features categorization,1,0.0082082477,0.5,0.5,57.346699172,3,-2.368680065,
214,forest_cover,shap,xgboost,1,w/ XAI,Attribution,Attribution Sum,1,0.0009448354,1.0,1.0,,5,-1.718306603,8.0
214,forest_cover,shap,xgboost,1,w/o XAI,Attribution,Attribution Sum,1,0.6077499243,0.4444444444,0.5555555556,,3,-3.952351085,0.3240728119
214,forest_cover,shap,xgboost,2,w/ XAI,Attribution,Attribution Sum,1,0.266713188,0.8888888889,0.8888888889,,4,-1.718306603,1.2349080257
4,forest_cover,shap,xgboost,1,w/ XAI,Importance,Salient-features categorization,1,0.5066480112,0.6666666667,0.7222222222,1.0,1,-3.913819391,
