episode,step,condition_name,condition_mode,episode_complexity,app_id,model_name,explanation_type,selected_strategy,selected_strategy_available,reward,decision_noise,memory_recall_threshold,opportunity_cost,lr_calculation_prob_correct,lr_heuristic_prob_correct,dt_traversal_prob_correct,lr_calculation_pred_time,lr_heuristic_pred_time,dt_traversal_pred_time,selected_prob_correct,selected_pred_time,selected_decision_boundary,selected_mode
1,28,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.6666745123348142,0.4,0.5,0.01,0.718508159337282,0.7149762714517719,0.0,3.527834792515787,4.830175911695762,0.0,0.7149762714517719,4.830175911695762,0.6,heuristic
1,29,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.9026120435488262,0.4,0.5,0.01,0.9876315088739085,0.7015634882362395,0.0,8.50194653250823,5.017211506580749,0.0,0.9876315088739085,8.50194653250823,0.6,read
1,30,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.5888134623401233,0.4,0.5,0.01,0.6872927080033845,0.6547256632749214,0.0,3.6310012507278175,6.591220093479805,0.0,0.6547256632749214,6.591220093479805,0.6,heuristic
1,31,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.33260935294700084,0.4,0.5,0.01,0.18784548666090814,0.3874545898432348,0.0,3.2183354178628107,5.484523689623394,0.0,0.3874545898432348,5.484523689623394,0.6,heuristic
1,32,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.3406129831412841,0.4,0.5,0.01,0.4379971758585523,0.342026145541592,0.0,9.73841927172682,5.437716002773362,0.0,0.4379971758585523,9.73841927172682,0.6,read
1,33,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.9119086989895419,0.4,0.5,0.01,0.9952485043910115,0.7932231204426003,0.0,8.333980540146968,5.165651740863489,0.0,0.9952485043910115,8.333980540146968,0.6,read
1,34,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.7559750661488336,0.4,0.5,0.01,0.1566300353269126,0.8089844918114627,0.0,3.115168959636709,5.300942566262909,0.0,0.8089844918114627,5.300942566262909,0.6,heuristic
1,35,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.9129308752366856,0.4,0.5,0.01,0.996015947746834,0.7935419820565921,0.0,8.308507251014838,5.211708153188751,0.0,0.996015947746834,8.308507251014838,0.6,read
1,36,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.7275809948541011,0.4,0.5,0.01,0.7809390620050767,0.779822268900088,0.0,3.3215018760917263,5.224127404598686,0.0,0.779822268900088,5.224127404598686,0.6,heuristic
1,37,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.8946108255210883,0.4,0.5,0.01,0.1878454866606923,0.9459237861712805,0.0,3.218335417831854,5.131296065019219,0.0,0.9459237861712805,5.131296065019219,0.6,heuristic
1,38,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,0.5371914026329209,0.4,0.5,0.01,0.6341408191896459,0.6343466143378905,0.0,9.69494165567251,5.644855988171274,0.0,0.6341408191896459,9.69494165567251,0.6,read
1,39,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.7628863556951235,0.4,0.5,0.01,0.21906093799480553,0.8425595937666588,0.0,3.3215018760748407,7.967323807153521,0.0,0.8425595937666588,7.967323807153521,0.6,heuristic
2,0,hybrid,mixed,high,rand_health_visits,mlp,none,dt_traversal,True,0.45831250045885336,0.4,0.5,0.01,0.8747772778748284,0.6626699846384502,0.5,10.47240042308284,4.866464023426563,4.168749954114666,0.5,4.168749954114666,1.2000000000000002,retrieve
