episode,step,condition_name,condition_mode,episode_complexity,app_id,model_name,explanation_type,selected_strategy,selected_strategy_available,reward,decision_noise,memory_recall_threshold,opportunity_cost,lr_calculation_prob_correct,lr_heuristic_prob_correct,dt_traversal_prob_correct,lr_calculation_pred_time,lr_heuristic_pred_time,dt_traversal_pred_time,selected_prob_correct,selected_pred_time,selected_decision_boundary,selected_mode,sweep_parameter,sweep_value
0,32,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,-0.08199996112973994,0.3,0.5,0.01,0.0,0.0,0.0,0.0,0.0,8.199996112973993,0.0,8.199996112973993,0.6,read,decision_noise,0.3
0,33,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.91800003887026,0.3,0.5,0.01,0.0,0.0,1.0,0.0,0.0,8.199996112973993,1.0,8.199996112973993,0.6,read,decision_noise,0.3
0,34,decision_tree,mixed,low,wine_binary,xgboost,none,dt_traversal,True,0.4875625000023188,0.3,0.5,0.01,0.0,0.0,0.5,0.0,0.0,1.2437499997681203,0.5,1.2437499997681203,0.9,retrieve,decision_noise,0.3
0,35,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.91800003887026,0.3,0.5,0.01,0.0,0.0,1.0,0.0,0.0,8.199996112973993,1.0,8.199996112973993,0.6,read,decision_noise,0.3
0,36,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.91800003887026,0.3,0.5,0.01,0.0,0.0,1.0,0.0,0.0,8.199996112973993,1.0,8.199996112973993,0.6,read,decision_noise,0.3
0,37,decision_tree,mixed,low,wine_binary,xgboost,dt,dt_traversal,True,0.9060000000001259,0.3,0.5,0.01,0.0,0.0,1.0,0.0,0.0,9.399999999987411,1.0,9.399999999987411,1.2000000000000002,read,decision_noise,0.3
0,38,decision_tree,mixed,low,wine_binary,xgboost,none,dt_traversal,True,0.49,0.3,0.5,0.01,0.0,0.0,0.5,0.0,0.0,1.0,0.5,1.0,0.6,retrieve,decision_noise,0.3
0,39,decision_tree,mixed,low,wine_binary,xgboost,none,dt_traversal,True,0.49,0.3,0.5,0.01,0.0,0.0,0.5,0.0,0.0,1.0,0.5,1.0,1.2000000000000002,retrieve,decision_noise,0.3
1,0,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.7195604085641737,0.3,0.5,0.01,0.2812507085724907,0.7515553949524657,0.0,4.512499150869257,3.199498638829203,0.0,0.7515553949524657,3.199498638829203,0.6,heuristic,decision_noise,0.3
1,1,linear_regression,mixed,low,star98_pass_rate,xgboost,none,lr_heuristic,True,0.5769952382859933,0.3,0.5,0.01,0.7187492914275119,0.6245334100843164,0.0,4.512499150798238,4.753817179832311,0.0,0.6245334100843164,4.753817179832311,0.6,heuristic,decision_noise,0.3
1,2,linear_regression,mixed,low,star98_pass_rate,xgboost,lr,lr_calculation,True,-0.05248297673409652,0.3,0.5,0.01,0.06902010890803634,0.2729816627407765,0.0,12.150308564213285,4.99289934038441,0.0,0.06902010890803634,12.150308564213285,0.6,read,decision_noise,0.3
