Participant Id,dataId,Model,Complexity,Variant,Strategy,total,respNLL,timeMAE,T_enc,T_op,latency_factor,lapse,retrieval_threshold,ddm_a,ddm_s,compute_sf,objective,optimizer,n_evals
23,wine_quality,mlp,low,sparse,heuristic,25.643,25.129,2.57,0.5,2.0,1.0,0.05,1.5,1.0,1.404,2,25.711,GP(skopt),50
105,wine_quality,mlp,low,sparse,calculation,27.824,26.619,6.022,0.5,2.0,1.0,0.05,1.5,1.126,0.86,2,27.046,GP(skopt),50
105,wine_quality,mlp,low,sparse,heuristic,24.369,23.753,3.077,1.299,2.0,1.0,0.05,-1.447,1.007,0.978,2,24.142,GP(skopt),50
191,wine_quality,mlp,high,dense,calculation,23.456,20.767,13.443,0.5,2.0,1.0,0.05,-2.0,1.5,0.497,2,22.794,GP(skopt),50
191,wine_quality,mlp,high,dense,heuristic,18.054,16.629,7.123,2.289,2.0,1.0,0.05,-1.426,1.05,0.619,2,17.762,GP(skopt),50
245,wine_quality,mlp,low,sparse,calculation,28.011,27.278,3.663,0.5,2.0,1.0,0.05,-2.0,1.087,1.006,2,27.784,GP(skopt),50
245,wine_quality,mlp,low,sparse,heuristic,30.047,29.497,2.749,0.859,2.0,1.0,0.05,0.063,1.0,1.5,2,29.455,GP(skopt),50
296,wine_quality,mlp,high,dense,calculation,28.957,27.517,7.201,0.5,2.0,1.0,0.05,1.5,1.27,1.265,2,28.726,GP(skopt),50
296,wine_quality,mlp,high,dense,heuristic,31.048,30.026,5.111,0.5,2.0,1.0,0.05,-1.076,1.0,1.5,2,30.78,GP(skopt),50
127,wine_quality,mlp,high,dense,calculation,24.905,23.365,7.697,0.5,2.0,1.0,0.05,1.5,1.0,0.357,2,25.066,GP(skopt),50
127,wine_quality,mlp,high,dense,heuristic,22.974,20.85,10.622,1.83,2.0,1.0,0.05,-0.199,1.5,0.288,2,21.887,GP(skopt),50
282,wine_quality,mlp,high,dense,calculation,24.303,21.638,13.322,0.5,2.0,1.0,0.05,-1.356,1.0,0.502,2,24.221,GP(skopt),50
282,wine_quality,mlp,high,dense,heuristic,23.155,22.35,4.025,1.353,2.0,1.0,0.05,-0.339,1.261,0.981,2,23.105,GP(skopt),50
176,wine_quality,mlp,high,dense,calculation,29.335,28.011,6.619,0.515,2.0,1.0,0.05,1.495,1.5,1.141,2,28.622,GP(skopt),50
176,wine_quality,mlp,high,dense,heuristic,29.254,28.733,2.605,0.866,2.0,1.0,0.05,-1.514,1.459,0.64,2,27.973,GP(skopt),50
115,wine_quality,mlp,high,dense,calculation,25.692,23.321,11.851,0.5,2.0,1.0,0.05,1.5,1.0,0.433,2,25.857,GP(skopt),50
115,wine_quality,mlp,high,dense,heuristic,25.236,24.59,3.23,0.5,2.0,1.0,0.05,-2.0,1.0,1.358,2,24.368,GP(skopt),50
143,wine_quality,mlp,high,dense,calculation,33.632,20.62,65.063,3.0,2.0,1.0,0.05,-1.442,1.5,0.508,2,32.698,GP(skopt),50
143,wine_quality,mlp,high,dense,heuristic,35.28,17.699,87.902,3.0,2.0,1.0,0.05,-1.312,1.422,0.2,2,35.307,GP(skopt),50
122,wine_quality,mlp,low,sparse,calculation,28.903,28.173,3.648,1.075,2.0,1.0,0.05,-0.3,1.032,1.5,2,28.943,GP(skopt),50
122,wine_quality,mlp,low,sparse,heuristic,28.005,26.46,7.723,0.5,2.0,1.0,0.05,1.5,1.251,0.2,2,26.688,GP(skopt),50
28,wine_quality,mlp,high,dense,calculation,27.02,23.872,15.74,0.5,2.0,1.0,0.05,-1.525,1.0,0.593,2,26.447,GP(skopt),50
28,wine_quality,mlp,high,dense,heuristic,17.912,16.605,6.535,0.571,2.0,1.0,0.05,-1.192,1.241,0.588,2,18.174,GP(skopt),50
266,wine_quality,mlp,high,dense,calculation,29.55,27.059,12.452,0.5,2.0,1.0,0.05,0.941,1.5,1.302,2,29.137,GP(skopt),50
266,wine_quality,mlp,high,dense,heuristic,24.0,23.233,3.83,0.5,2.0,1.0,0.05,-0.369,1.0,1.077,2,23.348,GP(skopt),50
162,wine_quality,mlp,low,sparse,calculation,27.987,26.483,7.521,3.0,2.0,1.0,0.05,-1.003,1.5,1.017,2,28.012,GP(skopt),50
162,wine_quality,mlp,low,sparse,heuristic,29.495,25.732,18.815,1.734,2.0,1.0,0.05,-0.534,1.02,1.169,2,29.216,GP(skopt),50
194,wine_quality,mlp,high,dense,calculation,30.001,28.148,9.263,0.703,2.0,1.0,0.05,1.5,1.0,1.39,2,29.747,GP(skopt),50
194,wine_quality,mlp,high,dense,heuristic,28.157,27.573,2.92,0.5,2.0,1.0,0.05,1.5,1.0,0.918,2,26.372,GP(skopt),50
190,wine_quality,mlp,low,sparse,calculation,26.771,25.198,7.869,0.5,2.0,1.0,0.05,0.342,1.5,0.897,2,26.756,GP(skopt),50
190,wine_quality,mlp,low,sparse,heuristic,31.141,29.572,7.844,1.881,2.0,1.0,0.05,-1.386,1.417,0.216,2,25.931,GP(skopt),50
248,wine_quality,mlp,low,sparse,calculation,28.563,27.425,5.69,0.5,2.0,1.0,0.05,1.5,1.0,1.093,2,28.428,GP(skopt),50
248,wine_quality,mlp,low,sparse,heuristic,30.409,30.133,1.379,0.5,2.0,1.0,0.05,-1.113,1.0,1.5,2,30.351,GP(skopt),50
145,wine_quality,mlp,low,sparse,calculation,31.518,27.236,21.412,3.0,2.0,1.0,0.05,-2.0,1.5,1.123,2,31.431,GP(skopt),50
145,wine_quality,mlp,low,sparse,heuristic,29.154,23.009,30.723,2.872,2.0,1.0,0.05,-0.594,1.5,0.2,2,27.423,GP(skopt),50
90,wine_quality,mlp,high,dense,calculation,18.289,15.479,14.05,3.0,2.0,1.0,0.05,-2.0,1.163,0.327,2,17.893,GP(skopt),50
90,wine_quality,mlp,high,dense,heuristic,21.81,16.008,29.012,3.0,2.0,1.0,0.05,-0.368,1.5,0.2,2,19.359,GP(skopt),50
215,wine_quality,mlp,low,sparse,calculation,28.452,27.113,6.693,0.5,2.0,1.0,0.05,-2.0,1.271,0.958,2,28.208,GP(skopt),50
215,wine_quality,mlp,low,sparse,heuristic,24.706,24.34,1.826,0.894,2.0,1.0,0.05,0.471,1.174,0.928,2,23.56,GP(skopt),50
298,wine_quality,mlp,low,sparse,calculation,28.459,26.135,11.617,3.0,2.0,1.0,0.05,-2.0,1.5,0.928,2,28.174,GP(skopt),50
298,wine_quality,mlp,low,sparse,heuristic,21.72,17.492,21.139,3.0,2.0,1.0,0.05,-2.0,1.182,0.202,2,18.303,GP(skopt),50
