Participant Id,AppId,Complexity,T_enc,T_op,chi_value,ddm_a,ddm_s,lapse,latency_factor,retrieval_threshold
670c2cc6d47a5af30e54a1b7,Mushrooms,low,0.5000000000000001,0.5,0.02,0,1.2,0.005,0.2,1.5
611202ff20bc8f6143b2b906,Mushrooms,high,0.5,0.5,0.0,0,1.1284006674029832,0.005,0.2,-2.0
6144b21806fb764e5f179bc2,Mushrooms,high,0.5,0.5,0.0,0,1.2,0.005,0.2,-2.0
67413944bea8f72bf0e85ee0,Mushrooms,high,1.511694430931986,0.5,0.019844231185824356,0,0.20077876584101434,0.005,0.2,1.2849344815551262
68111c116d884447584ec884,Mushrooms,low,2.9999999999999996,0.5,0.0,0,1.2,0.005,0.2,1.5
66707f3a4435f4e05d0940a1,Mushrooms,high,1.8026216409551314,0.5,0.0,0,1.0710096425081945,0.005,0.2,-2.0
67d1f22e4a4e2154f7069121,Mushrooms,low,2.74755250401718,0.5,0.0,0,0.2,0.005,0.2,1.5
66fd4cf0290e991fb59105ee,Mushrooms,high,1.8230318311770966,0.5,0.0011282315805420055,0,0.8508884729488531,0.005,0.2,-1.4999661372732072
6646555bb6bf80457ea8dac4,Mushrooms,low,0.5,0.5,0.0,0,1.2,0.005,0.2,-2.0
660c9fe7b2e6bf22bcc608b1,Mushrooms,high,1.5572568933507887,0.5,0.02,0,1.2,0.005,0.2,0.5788780221897216
677cc413f40496079c7a821e,Mushrooms,low,1.4568327670341186,0.5,0.015593820005455391,0,0.38343478986616386,0.005,0.2,0.7879004540108157
66fae4bae71ae61cda501834,Mushrooms,high,1.4568327670341186,0.5,0.015593820005455391,0,0.38343478986616386,0.005,0.2,0.7879004540108157
67217069ec642ab038feec41,Mushrooms,low,2.062716123069983,0.5,0.0,0,1.2,0.005,0.2,0.08328899758619324
66463a2c0a36377060b1910c,Mushrooms,high,0.5,0.5,0.010494092278952672,0,1.2,0.005,0.2,1.0493247096164113
66ad139637e066318f759155,Mushrooms,high,2.9999999999999996,0.5,0.0,0,1.040195351119984,0.005,0.2,1.5
6789809f8a3360391e622469,Mushrooms,low,0.5,0.5,0.015146929980317914,0,0.3964039174397883,0.005,0.2,0.44484796781134284
67446a0309a2bfd11c4ac73d,Mushrooms,high,2.9999999999999996,0.5,0.008535912976172634,0,1.2,0.005,0.2,0.419656463753173
61301afc08a5e9d282fc2e52,Mushrooms,high,1.1802289590752042,0.5,0.0008490844694270268,0,1.0708070481096432,0.005,0.2,-2.0
67ab8a7a20d621983deae922,Mushrooms,high,1.5,0.5,0.001,0,1.0,0.005,0.2,-0.3
6669a9dd31aed01f0969b063,Mushrooms,low,0.5,0.5,0.010291192338692157,0,0.8466944252934512,0.005,0.2,-1.210250253840348
657dae23f3bac23e1b62a01e,Mushrooms,low,1.2803363107177783,0.5,0.0004612485008283152,0,0.20706630521971742,0.005,0.2,0.14078606170898356
677d27908064d9a59051cb91,Mushrooms,low,0.5,0.5,0.0,0,1.2,0.005,0.2,-2.0
5e62adc6c15dbe044794b23d,Mushrooms,low,1.3376935735267024,0.5,0.0,0,0.2,0.005,0.2,-2.0
66f198a897fe47706e8cdfd2,Mushrooms,high,1.5069323804707944,0.5,0.0,0,0.9353196440039078,0.005,0.2,-2.0
6719f154126a51146461288b,Mushrooms,high,2.9999999999999996,0.5,0.016120350813253487,0,1.2,0.005,0.2,1.5
62da1426073a33a20028a827,Mushrooms,low,2.9999999999999996,0.5,0.02,0,0.2,0.005,0.2,1.5
614fbce5dfde6a9ffdd976c6,Mushrooms,low,1.6774920350198286,0.5,0.016142037108988497,0,1.1599481624194603,0.005,0.2,0.20846044237960992
66e869441ac326a3a210a1c8,Mushrooms,low,0.5,0.5,0.0,0,1.2,0.005,0.2,0.4965306252964492
67a3fe1fa6663c378aa14df4,Mushrooms,low,1.4521842201595307,0.5,0.0,0,0.21370296354620144,0.005,0.2,0.04054337460523971
6737dc2710c3e2a116713950,Mushrooms,high,0.5,0.5,0.01695996965580433,0,0.3171198141337206,0.005,0.2,-2.0
67169e5c7e56a6df9bdd72f8,Mushrooms,high,0.5,0.5,0.0,0,1.2,0.005,0.2,-2.0
6749603a8d6b23fcec325151,Mushrooms,low,2.9999999999999996,0.5,0.0,0,1.2,0.005,0.2,-2.0
6116f518d09b18d59c3e852b,Mushrooms,low,0.6605009201697737,0.5,0.0,0,1.2,0.005,0.2,0.5468527840227742
67e61b498a7d8562de019a6a,Mushrooms,high,1.5388398360148603,0.5,0.0,0,1.1713865647682298,0.005,0.2,-1.7173987621159525
6611a7c02137d122b4a41f24,Mushrooms,high,2.9999999999999996,0.5,0.0,0,1.2,0.005,0.2,-0.2803683415137368
655b6992cfadb38c5e155316,Mushrooms,low,2.9999999999999996,0.5,0.0,0,0.9870031309168026,0.005,0.2,1.02214686002239
676427fa7d4ecfeff61b58fe,Mushrooms,high,1.3657789346996123,0.5,0.005236405561319649,0,1.059268982370473,0.005,0.2,-1.718115371561355
67ebc99dd10b4321144f6232,Mushrooms,high,0.5,0.5,0.0,0,0.5402333733522495,0.005,0.2,1.5
67dfe3896e1d12377899085c,Mushrooms,high,2.9999999999999996,0.5,0.02,0,1.2,0.005,0.2,1.5
66a7f5c782392733a6cd854c,Mushrooms,high,0.5,0.5,0.0,0,1.2,0.005,0.2,-2.0
67211de81f9eb08f1cefa0d9,Mushrooms,high,1.2803363107177783,0.5,0.0004612485008283152,0,0.20706630521971742,0.005,0.2,0.14078606170898356
636166ea0cf87f7a07f95810,Mushrooms,high,2.1437170346191503,0.5,0.0,0,1.2,0.005,0.2,-2.0
6659277dcc234f77dcf8dbd6,Mushrooms,high,0.5,0.5,0.0,0,0.5243122253872725,0.005,0.2,-1.2405366890297582
610c570fa24921535a5a2535,Mushrooms,low,1.326649141135847,0.5,0.0037020825126903184,0,1.0310377069735899,0.005,0.2,-0.5140747417612392
66fee5f27e91b11407186319,Mushrooms,low,0.8290627212682153,0.5,0.02,0,0.2,0.005,0.2,1.1629448735757282
5e805d4050ad267333271830,Mushrooms,low,2.9999999999999996,0.5,0.02,0,0.967524475947221,0.005,0.2,0.766035255484971
672a906471cc580fbbba6778,Mushrooms,low,1.2593457304241769,0.5,0.019213034121506295,0,0.27765869376566643,0.005,0.2,-1.8122315493857846
65088c0b395fa983448de8dd,Mushrooms,low,1.4568327670341186,0.5,0.015593820005455391,0,0.38343478986616386,0.005,0.2,0.7879004540108157
62b0e8841b9e4f974007ca98,Mushrooms,high,1.8230318311770966,0.5,0.0011282315805420055,0,0.8508884729488531,0.005,0.2,-1.4999661372732072
66478e35cb4fdf9ea6c285cd,Mushrooms,high,2.9999999999999996,0.5,0.0,0,0.5182046650453279,0.005,0.2,0.31034542581498137
664a47afa9a244ac01b6911f,Mushrooms,low,0.5,0.5,0.0,0,0.2,0.005,0.2,-1.5748327690299257
67e5ebfad8af26b1bb60e460,Mushrooms,low,1.5,0.5,0.001,0,1.0,0.005,0.2,-0.3
67a9af472159f71c51b88aa6,Mushrooms,high,2.9999999999999996,0.5,0.0,0,1.2,0.005,0.2,0.7241124550246187
5e6ffb8536627f0c4bea9191,Mushrooms,low,1.4568327670341186,0.5,0.015593820005455391,0,0.38343478986616386,0.005,0.2,0.7879004540108157
6604836eca925a4a7b015774,Mushrooms,high,1.2175906317553131,0.5,0.004895814928303947,0,1.0706668987768406,0.005,0.2,-2.0
66ad1e08076381b48ffb7d79,Mushrooms,high,0.7212226748515057,0.5,0.01550205244891703,0,0.2534093152189691,0.005,0.2,-0.9090008241838632
5ea10f22d1d921114bdc2230,Mushrooms,high,2.9999999999999996,0.5,0.0,0,0.5700070151917483,0.005,0.2,1.5
671ddb50d819545f1b03f968,Mushrooms,high,1.7401506798000834,0.5,0.0018815775645015628,0,0.9688032270769453,0.005,0.2,-0.9204539005126458
63e52a987451db9972a9e26e,Mushrooms,low,2.9999999999999996,0.5,0.004455198987555003,0,1.2,0.005,0.2,1.5
67aa44e0ec4c8a6e21c64636,Mushrooms,low,2.9999999999999996,0.5,0.0,0,1.1432074067291071,0.005,0.2,1.3067938931384573
6772d26839f129f94d40eeeb,Mushrooms,low,2.906896165737771,0.5,0.0017877195249099,0,0.8654857541607008,0.005,0.2,0.337270208730049
